"","c1","c2","c3","a1","a2","a3","pmin","pmax","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10","alp12_diff_1","alp12_diff_2","alp12_diff_3","alp12_diff_4","alp12_diff_5","alp12_diff_6","alp12_diff_7","alp12_diff_8","alp12_diff_9","alp12_diff_10","alp_diff"
"11",2,0.7,0,2,1,0,0.6,1.7,0.55,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"12",2,0.7,0,2,1,0,0.6,1.7,0.6,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"13",2,0.7,0,2,1,0,0.6,1.7,0.65,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"14",2,0.7,0,2,1,0,0.6,1.7,0.7,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"15",2,0.7,0,2,1,0,0.6,1.7,0.75,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"16",2,0.7,0,2,1,0,0.6,1.7,0.8,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"17",2,0.7,0,2,1,0,0.6,1.7,0.85,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"18",2,0.7,0,2,1,0,0.6,1.7,0.9,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"19",2,0.7,0,2,1,0,0.6,1.7,0.95,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"20",2,0.7,0,2,1,0,0.6,1.7,1,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
