"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"21",1050,950,3193.04765939456,364.405622897741,2828.64203649683,4610.10421062393,1824.98560961106,2785.11860101287,7803.15187001849,2189.39123250881,5613.7606375097,0.0466666666666695,0.433333333333331,0.0628571428571428,0.0266165413533835,0.430526315789473,0,0,0,0,0,0.0500000000000001,0,0,0,0.0499999999999999,0,0,0,0,0
"22",1100,900,3064.14155793372,401.434378073092,2662.7071798606,4634.78747438698,1988.01797759238,2646.7694967946,7698.9290323207,2389.45235566548,5309.4766766552,0.095555555555555,0.435555555555558,0.0334343434343433,0.00212121212121212,0.433333333333331,0,0,0,0,0,0.0499999999999999,0,0,0.00212121212121212,0.0478787878787879,0,0,0,0,0
"23",1150,850,2939.86731377856,439.608754418298,2500.25855936025,4621.92008020416,2128.52831380255,2493.39176640161,7561.78739398272,2568.13706822085,4993.65032576186,0.147058823529412,0.431304347826085,0.00260869565217392,0,0.419028132992329,0,0,0,0,0,0.0500000000000002,0,0,0,0.0500000000000001,0,0,0,0,0
"24",1200,800,2818.29169967317,475.29329818908,2342.99840148411,4671.86993599495,2312.33966529043,2359.53027070452,7490.16163566812,2787.63296347951,4702.52867218863,0.195833333333333,0.4075,0,0,0.396666666666668,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0
"25",1250,750,2694.76741604927,509.614651313695,2185.15276473559,4692.36775233172,2475.96648377995,2216.40126855178,7387.13516838099,2985.58113509364,4401.55403328737,0.242666666666665,0.3776,0,0,0.379733333333335,0,0,0,0,0,0.0500000000000001,0,0,0,0.05,0,0,0,0,0
"26",1300,700,2567.99124012028,540.314808986275,2027.67643113402,4349.95346896294,2432.46768289616,1917.48578606678,6917.94470908322,2972.78249188244,3945.1622172008,0.290769230769233,0.342307692307694,0,0,0.366923076923073,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0
"27",1350,650,2444.30502893548,570.86589281812,1873.43913611739,4621.94319856045,2737.16555081121,1884.77764774924,7066.24822749593,3308.03144362933,3758.21678386663,0.339601139601139,0.30962962962963,0,0,0.350769230769231,0,0,0,0,0,0.0500000000000001,0,0,0,0.0499999999999999,0,0,0,0,0
"28",1400,600,2321.38404913986,604.836431302644,1716.54761783725,4778.24056403071,2987.51955315099,1790.72101087972,7099.62461317057,3592.35598445364,3507.26862871697,0.392142857142855,0.272857142857144,0,0,0.335000000000001,0,0,0,0,0,0.0500000000000001,0,0,0,0.0499999999999999,0,0,0,0,0
"29",1450,550,2199.52162231643,643.730769541928,1555.79085277452,4615.45643696338,3053.30195060654,1562.15448635684,6814.97805927981,3697.03272014847,3117.94533913136,0.456363636363636,0.235015673981191,0,0,0.308620689655173,0,0,0,0,0,0.05,0,0,0,0.0499999999999999,0,0,0,0,0
"30",1500,500,2083.58225992449,679.323707275035,1404.25855264949,4904.08255181054,3417.09572591293,1486.98682589762,6987.66481173503,4096.41943318796,2891.2453785471,0.514666666666653,0.20133333333336,0,0,0.283999999999986,0,0,0,0,0,0.0499999999999999,0,0,0,0.05,0,0,0,0,0
"31",1550,450,1967.88989235251,719.292995628992,1248.59689672354,4945.37000026932,3621.50533630668,1323.86466396264,6913.25989262183,4340.79833193567,2572.46156068618,0.577777777777778,0.166415770609321,0,0,0.255806451612903,0,0,0,0,0,0.0500000000000001,0,0,0,0.05,0,0,0,0,0
"32",1600,400,1854.20801112297,755.95898481299,1098.24902630998,4963.3415292486,3800.96646385079,1162.37506539781,6817.54954037157,4556.92544866378,2260.62409170779,0.644375000000065,0.123125,0,0,0.232499999999935,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0
"33",1650,350,1742.06062443412,789.902241837428,952.158382596699,5126.01971488362,4091.14284112771,1034.87687375591,6868.08033931774,4881.04508296514,1987.03525635261,0.704329004329004,0.0842424242424241,0,0,0.211428571428571,0,0,0,0,0,0.0499999999999998,0,0,0,0.0500000000000001,0,0,0,0,0
"34",1700,300,1632.14107352174,822.293647291872,809.84742622988,5115.47442351922,4241.53232382915,873.942099690071,6747.61549704096,5063.82597112102,1683.78952591995,0.755294117647058,0.0511764705882353,0,0,0.193529411764707,0,0,0,0,0,0.0500000000000001,0,0,0,0.0500000000000002,0,0,0,0,0
"35",1750,250,1520.76520741169,855.278975557013,665.486231854691,5103.54094815171,4389.95860081506,713.582347336648,6624.30615556339,5245.23757637207,1379.06857919134,0.819142857142858,0.00971428571428572,0,0,0.171142857142857,0,0,0,0,0,0.0499999999999997,0,0,0,0.05,0,0,0,0,0
"36",1800,200,1416.83107710338,889.214733330988,527.616343772404,5012.33826847321,4463.94239664918,548.395871824035,6429.1693455766,5353.15712998017,1076.01221559644,0.854444444444359,1.14795856101135e-13,0,0,0.145555555555526,0,0,0,0,0,0.05,0,0,0,0.0499999999999999,0,0,0,0,0
"37",1850,150,1309.06988735917,915.37110066507,393.698786694115,5080.70045813506,4670.96655022095,409.733907914118,6389.77034549424,5586.33765088602,803.432694608233,0.874324324324313,0,0,0,0.125675675675687,0,0,0,0,0,0.0499999999999999,0,0,0,0.0500000000000001,0,0,0,0,0
"38",1900,100,1199.65479309496,941.069654801394,258.58513829357,4923.38345957692,4665.74957890834,257.633880668579,6123.03825267188,5606.81923370973,516.219018962149,0.903157894736866,0,0,0,0.0968421052631316,0,0,0,0,0,0.0500000000000001,0,0,0,0.0499999999999999,0,0,0,0,0
"39",1950,50,1096.7343065432,967.031559532741,129.702747010443,5159.27170493764,5027.05049261222,132.221212325414,6256.00601148083,5994.08205214496,261.923959335857,0.924871794871837,0,0,0,0.0751282051281627,0,0,0,0,0,0.05,0,0,0,0.0500000000000001,0,0,0,0,0
